reference,gene_name
U3KQC7,U3KQC7
U3KQC6,U3KQC6
U3KQC2,U3KQC2
U3KQC1,U3KQC1
U3KQB8,U3KQB8
U3KQB7,U3KQB7
U3KQB5,U3KQB5
U3KQB4,U3KQB4
U3KQB3,U3KQB3
U3KQB2,U3KQB2
U3KQB1,U3KQB1
U3KQB0,U3KQB0
U3KQA9,U3KQA9
U3KQA8,U3KQA8
U3KQA6,U3KQA6
U3KQA5,U3KQA5
U3KQA4,U3KQA4
U3KQA3,U3KQA3
U3KQA2,U3KQA2
U3KQA1,U3KQA1
U3KQ98,U3KQ98
U3KQ97,U3KQ97
U3KQ96,U3KQ96
U3KQ95,U3KQ95
U3KQ94,U3KQ94
U3KQ93,U3KQ93
U3KQ92,U3KQ92
U3KQ91,U3KQ91
U3KQ90,U3KQ90
U3KQ89,U3KQ89
U3KQ88,U3KQ88
U3KQ87,U3KQ87
U3KQ86,U3KQ86
U3KQ85,U3KQ85
U3KQ84,U3KQ84
U3KQ83,U3KQ83
U3KQ82,U3KQ82
U3KQ81,U3KQ81
U3KQ78,U3KQ78
U3KQ77,U3KQ77
U3KQ75,U3KQ75
U3KQ70,U3KQ70
U3KQ69,U3KQ69
U3KQ67,U3KQ67
U3KQ66,U3KQ66
U3KQ64,U3KQ64
U3KQ63,U3KQ63
U3KQ62,U3KQ62
U3KQ61,U3KQ61
U3KQ60,U3KQ60
U3KQ59,U3KQ59
U3KQ57,U3KQ57
U3KQ56,U3KQ56
U3KQ55,U3KQ55
U3KQ54,U3KQ54
U3KQ53,U3KQ53
U3KQ52,U3KQ52
U3KQ51,U3KQ51
U3KQ50,U3KQ50
U3KQ49,U3KQ49
U3KQ48,U3KQ48
U3KQ47,U3KQ47
U3KQ46,U3KQ46
U3KQ44,U3KQ44
U3KQ43,U3KQ43
U3KQ42,U3KQ42
U3KQ41,U3KQ41
U3KQ39,U3KQ39
U3KQ37,U3KQ37
U3KQ35,U3KQ35
U3KQ34,U3KQ34
U3KQ33,U3KQ33
U3KQ32,U3KQ32
U3KQ31,U3KQ31
U3KQ29,U3KQ29
U3KQ26,U3KQ26
U3KQ25,U3KQ25
U3KQ24,U3KQ24
U3KQ23,U3KQ23
U3KQ22,U3KQ22
U3KQ21,U3KQ21
U3KQ19,U3KQ19
U3KQ16,U3KQ16
U3KQ14,U3KQ14
U3KQ12,U3KQ12
U3KQ11,U3KQ11
U3KQ09,U3KQ09
U3KQ07,U3KQ07
U3KQ06,U3KQ06
U3KQ05,U3KQ05
U3KQ04,U3KQ04
U3KQ03,U3KQ03
U3KQ00,U3KQ00
U3KPZ9,U3KPZ9
U3KPZ8,U3KPZ8
U3KPZ7,U3KPZ7
U3KPZ6,U3KPZ6
U3KPZ5,U3KPZ5
U3KPZ4,U3KPZ4
U3KPZ3,U3KPZ3
U3KPZ2,U3KPZ2
U3KPZ0,U3KPZ0
U3KPY9,U3KPY9
U3KPY7,U3KPY7
U3KPY6,U3KPY6
U3KPY5,U3KPY5
U3KPY4,U3KPY4
U3KPY3,U3KPY3
U3KPY1,U3KPY1
U3KPX9,U3KPX9
U3KPX8,U3KPX8
U3KPX7,U3KPX7
U3KPX6,U3KPX6
U3KPX5,U3KPX5
U3KPX4,U3KPX4
U3KPX3,U3KPX3
U3KPX2,U3KPX2
U3KPX1,U3KPX1
U3KPW9,U3KPW9
U3KPW8,U3KPW8
U3KPW4,U3KPW4
U3KPW3,U3KPW3
U3KPW2,U3KPW2
U3KPW1,U3KPW1
U3KPW0,U3KPW0
U3KPV9,U3KPV9
U3KPV8,U3KPV8
U3KPV7,U3KPV7
U3KPV5,U3KPV5
U3KPV4,A3LT2
